time,city,latitude,longitude,temp,humidity,pm2_5,pm10,no2,so2,o3,aqi
2026-05-06 17:52:38.917332,Karachi,24.8607,67.0011,27.9,74,21.4,44.6,21.6,11.9,54.0,54.0
2026-05-06 18:10:38.701189,Karachi,24.8607,67.0011,27.9,74,21.4,44.6,21.6,11.9,54.0,54.0
2026-05-06 21:02:31.924900,Karachi,24.8607,67.0011,26.9,78,,,,,,0.0
2026-05-06 21:15:30.756443,Karachi,24.8607,67.0011,26.9,78,,,,,,0.0
2026-05-06 21:35:43.435878,Karachi,24.8607,67.0011,26.9,78,,,,,,
2026-05-06 21:54:16.479046,Karachi,24.8607,67.0011,26.9,78,,,,,,
2026-05-06 22:11:20.039557,Karachi,24.8607,67.0011,26.9,78,,,,,,
